di_id,name,change_percent,change_numeric,buy,sell,latest,high,low,volume,time,list
64,Moment Group,-0.5,-0.01,1.97,1.98,1.98,1.99,1.94,297269,17:29,Small Cap
72,Hexagon B,3.02,21.6,737.4,737.8,737,737.8,710.2,430978,17:29,Large Cap
73,Swedbank A,-0.01,-0.02,161,161.04,160.7,162.66,159.9,3835091,17:32,Large Cap
74,TietoEVRY,0.75,2,269.2,269.6,269.8,270.2,265.6,19297,17:29,Large Cap
75,ICA Gruppen,0.25,1,404.2,404.8,404.5,407.3,402.9,330209,17:29,Large Cap
76,Trelleborg B,-0.09,-0.2,226.7,226.9,226.5,229,225.8,572512,17:32,Large Cap
83,Atlas Copco A,1.68,8.2,494.9,495.2,495.1,495.7,480.7,899004,17:29,Large Cap
94,Biotage,0.98,1.4,143.5,143.8,144.4,145,141.4,61686,17:29,Mid Cap
117,SEB A,-1.27,-1.35,104.75,104.8,104.85,106,104.4,5133776,17:29,Large Cap
121,Investor B,0.57,3.8,665.8,666.2,666,666.4,654.6,1005508,17:29,Large Cap
123,Lundin Energy,0.8,2.3,292.1,292.4,291.6,295.1,288.4,1014539,17:29,Large Cap
125,Skanska B,2.34,5,219.1,219.2,219,219.3,213.2,1230234,17:29,Large Cap
143,AAK,0.19,0.35,186.45,186.6,186.4,187.55,186,318722,17:29,Large Cap
145,ABB,0.19,0.5,258.9,259.1,259.4,259.4,256.1,848625,17:29,Large Cap
170,Ericsson B,1.2,1.25,105.45,105.5,105.6,105.95,103.55,6895707,17:29,Large Cap
195,Active Biotech,-1.05,-0.02,1.52,1.53,1.5,1.56,1.49,504994,17:29,Small Cap
196,Addtech B,0.8,1,125,126,126,126,123,146915,17:29,Large Cap
200,ÅF Pöyry B,5.17,12.2,248,248.6,248.2,249,233.8,182368,17:29,Large Cap
209,Handelsbanken A,-0.53,-0.52,97.32,97.34,97.36,98.42,96.5,4602619,17:29,Large Cap
212,Kinnevik B,0.56,2.2,392.55,392.65,392.65,395.6,384.6,997382,17:30,Large Cap
215,Telia Company,0.79,0.28,35.74,35.76,35.76,35.92,35.54,10868874,17:29,Large Cap
237,Alfa Laval,-0.36,-1,275.1,275.2,275,276.8,272.7,738367,17:32,Large Cap
247,Autoliv SDB,0.19,1.6,826,826.6,826,838.2,820,226296,17:29,Large Cap
264,Addnode Group B,0.42,1,238.5,239,239,241,238,10190,17:29,Mid Cap
